player_id,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season_year,season_type
tatumja01,BOS,SF,74.0,74.0,2732.0,727.0,1559.0,240.0,686.0,487.0,873.0,531.0,622.0,78.0,571.0,649.0,342.0,78.0,51.0,213.0,160.0,2225.0,2023,regular
embiijo01,PHI,C,66.0,66.0,2284.0,728.0,1328.0,66.0,200.0,662.0,1128.0,661.0,771.0,113.0,557.0,670.0,274.0,66.0,112.0,226.0,205.0,2183.0,2023,regular
doncilu01,DAL,PG,66.0,66.0,2391.0,719.0,1449.0,185.0,541.0,534.0,908.0,515.0,694.0,54.0,515.0,569.0,529.0,90.0,33.0,236.0,166.0,2138.0,2023,regular
gilgesh01,OKC,PG,68.0,68.0,2416.0,704.0,1381.0,58.0,168.0,646.0,1213.0,669.0,739.0,59.0,270.0,329.0,371.0,112.0,65.0,192.0,192.0,2135.0,2023,regular
antetgi01,MIL,PF,63.0,63.0,2024.0,707.0,1278.0,47.0,171.0,660.0,1107.0,498.0,772.0,137.0,605.0,742.0,359.0,52.0,51.0,246.0,197.0,1959.0,2023,regular
edwaran01,MIN,SG,79.0,79.0,2842.0,707.0,1541.0,213.0,578.0,494.0,963.0,319.0,422.0,47.0,411.0,458.0,350.0,125.0,58.0,259.0,186.0,1946.0,2023,regular
randlju01,NYK,PF,77.0,77.0,2737.0,658.0,1432.0,218.0,636.0,440.0,796.0,402.0,531.0,141.0,626.0,767.0,316.0,49.0,21.0,216.0,233.0,1936.0,2023,regular
mitchdo01,CLE,SG,68.0,68.0,2432.0,679.0,1402.0,245.0,635.0,434.0,767.0,319.0,368.0,63.0,226.0,289.0,301.0,99.0,27.0,180.0,168.0,1922.0,2023,regular
youngtr01,ATL,PG,73.0,73.0,2541.0,597.0,1390.0,154.0,460.0,443.0,930.0,566.0,639.0,56.0,161.0,217.0,741.0,80.0,9.0,300.0,104.0,1914.0,2023,regular
lavinza01,CHI,SG,77.0,77.0,2768.0,673.0,1388.0,204.0,544.0,469.0,844.0,363.0,428.0,42.0,303.0,345.0,327.0,69.0,18.0,194.0,159.0,1913.0,2023,regular
